"Rank","Tier","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"190","undefined","","Dante Pettis","SF","WR74","4","189","215","201.5","9.6","107.0","-83.0"
"191","undefined","","Greg Zuerlein","LAR","K1","9","153","251","202.3","41.2","120.0","-71.0"
"192","undefined","","Chris Conley","JAC","WR75","10","156","230","203.0","28.9","321.0","+129.0"
"193","undefined","","Jalen Richard","OAK","RB66","6","169","274","204.8","41.5","186.0","-7.0"
"194","undefined","","Sam Darnold","NYJ ","QB26","4","129","220","182.0","38.6","187.0","-7.0"
"195","undefined","","Rashard Higgins","CLE","WR76","7","200","213","207.3","5.1","252.0","+57.0"
"196","undefined","","Randall Cobb","DAL","WR77","8","169","293","211.8","48.5","209.0","+13.0"
"197","undefined","","Paul Richardson","WAS","WR78","10","182","247","209.3","23.6","244.0","+47.0"
"198","undefined","","Darren Sproles","PHI","RB67","10","151","312","217.8","58.7","307.0","+109.0"
"199","undefined","","Ty Montgomery","NYJ","RB68","4","184","237","210.8","21.5","205.0","+6.0"
"200","undefined","","Jacksonville (JAC)","","DST2","10","132","164","148.0","16.0","122.0","-78.0"
"201","undefined","","Minnesota (MIN)","","DST3","12","138","159","148.5","10.5","136.0","-65.0"
"202","undefined","","Deebo Samuel","SF","WR79","4","129","270","191.7","58.6","195.0","-7.0"
"203","undefined","","Ryquell Armstead","JAC","RB69","10","179","241","213.5","25.6","267.0","+64.0"
"204","undefined","","KeeSean Johnson","ARI","WR80","12","185","238","213.8","19.1","310.0","+106.0"
"205","undefined","","New England (NE)","","DST4","10","145","157","151.0","6.0","171.0","-34.0"
"206","undefined","","Cole Beasley","BUF","WR81","6","144","271","194.3","55.1","199.0","-7.0"
"207","undefined","","Jack Doyle","IND","TE26","6","161","227","195.3","27.0","184.0","-23.0"
"208","undefined","","Los Angeles (LAC)","","DST5","12","145","165","155.0","10.0","147.0","-61.0"
"209","undefined","","Parris Campbell","IND","WR82","6","183","242","217.0","22.0","230.0","+21.0"
"210","undefined","","Cleveland (CLE)","","DST6","7","147","166","156.5","9.5","151.0","-59.0"
"211","undefined","","Dare Ogunbowale","TB","RB70","7","168","244","201.7","31.6","260.0","+49.0"
"212","undefined","","Chase Edmonds","ARI","RB71","12","184","217","201.7","13.6","262.0","+50.0"
"213","undefined","","Los Angeles (LAR)","","DST7","9","152","178","165.0","13.0","113.0","-100.0"
